2025-11-23 12:21:51,215 | WARNING | src.phase1_preprocessing.preprocessor | spaCy model en_core_web_sm not found. Falling back to blank 'en'.
2025-11-23 12:21:51,505 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2025-11-23 12:21:51,505 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-11-23 12:21:58,382 | WARNING | huggingface_hub.file_download | Xet Storage is enabled for this repo, but the 'hf_xet' package is not installed. Falling back to regular HTTP download. For better performance, install the package with: `pip install huggingface_hub[hf_xet]` or `pip install hf_xet`
2025-11-23 12:22:15,008 | INFO | src.phase1_preprocessing.embedder | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2
2025-11-23 12:22:15,009 | INFO | root | Starting data collection
2025-11-23 12:22:15,009 | INFO | src.phase1_preprocessing.data_collector | Collecting India Code acts
2025-11-23 12:22:15,938 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_23_00001_186045_1523268198141&sectionId=6178&sectionno=1&orderno=1). Retrying in 1.0s
2025-11-23 12:22:19,087 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_23_00001_186045_1523268198141&sectionId=6178&sectionno=1&orderno=1). Retrying in 2.0s
2025-11-23 12:22:23,087 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_23_00001_186045_1523268198141&sectionId=6178&sectionno=1&orderno=1). Retrying in 4.0s
2025-11-23 12:22:27,165 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_23_00001_186045_1523268198141&sectionId=6178&sectionno=1&orderno=1). Retrying in 8.0s
2025-11-23 12:22:35,166 | ERROR | src.phase1_preprocessing.data_collector | Giving up on https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_23_00001_186045_1523268198141&sectionId=6178&sectionno=1&orderno=1 after 4 retries
2025-11-23 12:22:35,232 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2263). Retrying in 1.0s
2025-11-23 12:22:39,224 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2263). Retrying in 2.0s
2025-11-23 12:22:43,231 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2263). Retrying in 4.0s
2025-11-23 12:22:47,291 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2263). Retrying in 8.0s
2025-11-23 12:22:55,292 | ERROR | src.phase1_preprocessing.data_collector | Giving up on https://www.indiacode.nic.in/handle/123456789/2263 after 4 retries
2025-11-23 12:22:55,362 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2264). Retrying in 1.0s
2025-11-23 12:22:59,484 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2264). Retrying in 2.0s
2025-11-23 12:23:03,387 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2264). Retrying in 4.0s
2025-11-23 12:23:07,761 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2264). Retrying in 8.0s
2025-11-23 12:23:15,773 | ERROR | src.phase1_preprocessing.data_collector | Giving up on https://www.indiacode.nic.in/handle/123456789/2264 after 4 retries
2025-11-23 12:23:15,859 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2287). Retrying in 1.0s
2025-11-23 12:23:19,851 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2287). Retrying in 2.0s
2025-11-23 12:23:24,143 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2287). Retrying in 4.0s
2025-11-23 12:23:28,245 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2287). Retrying in 8.0s
2025-11-23 12:23:36,246 | ERROR | src.phase1_preprocessing.data_collector | Giving up on https://www.indiacode.nic.in/handle/123456789/2287 after 4 retries
2025-11-23 12:23:36,307 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2187). Retrying in 1.0s
2025-11-23 12:24:01,174 | WARNING | src.phase1_preprocessing.data_collector | Request failed (502 Server Error: Bad Gateway for url: https://www.indiacode.nic.in/handle/123456789/2187). Retrying in 2.0s
2025-11-23 12:24:03,237 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2187). Retrying in 4.0s
2025-11-23 12:24:07,299 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2187). Retrying in 8.0s
2025-11-23 12:24:15,300 | ERROR | src.phase1_preprocessing.data_collector | Giving up on https://www.indiacode.nic.in/handle/123456789/2187 after 4 retries
2025-11-23 12:24:15,358 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2182). Retrying in 1.0s
2025-11-23 12:24:19,387 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2182). Retrying in 2.0s
2025-11-23 12:24:23,658 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2182). Retrying in 4.0s
2025-11-23 12:24:27,731 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2182). Retrying in 8.0s
2025-11-23 12:24:35,732 | ERROR | src.phase1_preprocessing.data_collector | Giving up on https://www.indiacode.nic.in/handle/123456789/2182 after 4 retries
2025-11-23 12:24:35,800 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2222). Retrying in 1.0s
2025-11-23 12:24:39,794 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2222). Retrying in 2.0s
2025-11-23 12:24:44,089 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2222). Retrying in 4.0s
2025-11-23 12:24:48,458 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/2222). Retrying in 8.0s
2025-11-23 12:24:56,459 | ERROR | src.phase1_preprocessing.data_collector | Giving up on https://www.indiacode.nic.in/handle/123456789/2222 after 4 retries
2025-11-23 12:24:56,520 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/show-data?actid=AC_CEN_12_13_00025_201318_1517807320331&sectionId=9697&sectionno=1). Retrying in 1.0s
2025-11-23 12:25:00,526 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/show-data?actid=AC_CEN_12_13_00025_201318_1517807320331&sectionId=9697&sectionno=1). Retrying in 2.0s
2025-11-23 12:25:04,523 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/show-data?actid=AC_CEN_12_13_00025_201318_1517807320331&sectionId=9697&sectionno=1). Retrying in 4.0s
2025-11-23 12:25:08,596 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/show-data?actid=AC_CEN_12_13_00025_201318_1517807320331&sectionId=9697&sectionno=1). Retrying in 8.0s
2025-11-23 12:25:16,597 | ERROR | src.phase1_preprocessing.data_collector | Giving up on https://www.indiacode.nic.in/show-data?actid=AC_CEN_12_13_00025_201318_1517807320331&sectionId=9697&sectionno=1 after 4 retries
2025-11-23 12:25:16,679 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/13116). Retrying in 1.0s
2025-11-23 12:25:20,758 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/13116). Retrying in 2.0s
2025-11-23 12:25:24,814 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/13116). Retrying in 4.0s
2025-11-23 12:25:28,879 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/13116). Retrying in 8.0s
2025-11-23 12:25:36,881 | ERROR | src.phase1_preprocessing.data_collector | Giving up on https://www.indiacode.nic.in/handle/123456789/13116 after 4 retries
2025-11-23 12:25:36,957 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/15269). Retrying in 1.0s
